date,time,place,item,type,recyclability,sorted_status
2024-02-13,11:17,par14,drink can,Metal,Recyclable,Unsorted
2024-04-29,12:16,par6,coffee cup,Paper,Recyclable,Unsorted
2024-04-01,12:32,lobby,carton,Paper,Recyclable,Unsorted
2024-06-04,12:19,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-23,11:47,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-03,13:03,par14,banana peel,Organic,bio-degradable,Sorted
2024-05-13,13:10,lobby,paper,Paper,Recyclable,Unsorted
2024-04-11,15:37,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-17,13:42,lobby,drink can,Metal,Recyclable,Sorted
2024-05-22,12:09,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-05-29,12:03,lobby,cardboard,Paper,Recyclable,Unsorted
2024-05-16,15:06,vending machine,paper,Paper,Recyclable,Unsorted
2024-04-08,12:26,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-11,12:09,vending machine,wrapper,Plastic,non-recyclable,Unsorted
2024-03-15,11:41,lobby,paper,Paper,Recyclable,Sorted
2024-04-17,17:46,par6,plastic film,Plastic,non-recyclable,Sorted
2024-05-20,12:14,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-01-04,11:08,par6,food,Organic,bio-degradable,Unsorted
2024-04-16,11:50,par14,paper,Paper,Recyclable,Unsorted
2024-06-04,13:14,par6,drink can,Metal,Recyclable,Unsorted
2024-01-29,12:37,par14,wrapper,Plastic,non-recyclable,Sorted
2024-02-20,12:19,lobby,paper cup,Paper,Recyclable,Sorted
2024-05-16,12:33,par6,paper cup,Paper,Recyclable,Unsorted
2024-01-23,12:21,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-05-27,11:11,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-03,12:57,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-15,11:43,par6,wrapper,Plastic,non-recyclable,Sorted
2024-04-09,14:54,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-17,13:28,par13,coffee cup,Paper,Recyclable,Unsorted
2024-02-16,12:50,par13,paper cup,Paper,Recyclable,Sorted
2024-03-05,11:57,lobby,drink can,Metal,Recyclable,Sorted
2024-01-12,12:49,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-01-08,11:49,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-07,09:47,vending machine,wrapper,Plastic,non-recyclable,Unsorted
2024-03-22,12:15,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-05-02,11:47,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-29,11:36,par13,glass bottle,Glass,Recyclable,Unsorted
2024-04-15,11:54,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-02-08,15:28,par14,wrapper,Plastic,non-recyclable,Sorted
2024-05-29,12:09,par13,drink can,Metal,Recyclable,Unsorted
2024-01-08,09:54,par13,food,Organic,bio-degradable,Unsorted
2024-06-04,10:51,par6,carton,Paper,Recyclable,Sorted
2024-05-28,15:34,vending machine,plastic film,Plastic,non-recyclable,Sorted
2024-03-28,11:52,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-01-09,10:56,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-02-06,12:40,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-03,13:06,par6,coffee cup,Paper,Recyclable,Sorted
2024-01-01,15:39,par14,glass bottle,Glass,Recyclable,Unsorted
2024-03-01,12:57,lobby,cardboard,Paper,Recyclable,Sorted
2024-01-02,11:09,par14,paper,Paper,Recyclable,Sorted
2024-06-14,12:49,lobby,paper,Paper,Recyclable,Sorted
2024-04-17,12:22,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-30,11:26,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-22,13:02,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-07,11:05,par14,wrapper,Plastic,non-recyclable,Sorted
2024-04-26,17:56,lobby,paper,Paper,Recyclable,Unsorted
2024-01-19,10:08,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-28,11:33,vending machine,paper cup,Paper,Recyclable,Sorted
2024-03-05,11:54,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-15,10:13,lobby,cardboard,Paper,Recyclable,Sorted
2024-06-10,12:54,par6,cardboard,Paper,Recyclable,Unsorted
2024-04-12,12:25,lobby,food,Organic,bio-degradable,Sorted
2024-05-01,11:33,par6,drink can,Metal,Recyclable,Sorted
2024-04-01,10:55,lobby,food,Organic,bio-degradable,Unsorted
2024-01-19,17:17,par6,coffee cup,Paper,Recyclable,Unsorted
2024-04-05,12:22,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-13,18:45,par14,carton,Paper,Recyclable,Sorted
2024-03-14,18:26,par14,paper,Paper,Recyclable,Unsorted
2024-05-08,12:33,lobby,drink can,Metal,Recyclable,Sorted
2024-03-28,12:36,par14,carton,Paper,Recyclable,Unsorted
2024-01-22,12:55,lobby,carton,Paper,Recyclable,Sorted
2024-02-13,15:38,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-01,13:08,par6,paper cup,Paper,Recyclable,Sorted
